topic,kategori
561,other
562,jokowi
563,prabowo vs jokowi
564,jokowi
565,prabowo vs jokowi
566,koalisi
567,prabowo vs jokowi
568,jokowi
569,buruh
570,other
571,prabowo vs jokowi
572,buruh
573,jokowi
574,jokowi
575,prabowo vs jokowi
576,jokowi
577,other
578,other
579,other
580,other
581,other
582,koalisi
583,other
584,other
585,jokowi
586,jasmev
587,other
588,kemeja
589,politik
590,prabowo vs jokowi
591,jokowi
592,other
593,prabowo vs jokowi
594,other
595,kandidat pendamping jokowi (cawapres)
596,other
597,other
598,other
599,prabowo vs jokowi
600,other
601,other
602,buruh
603,jokowi
604,jokowi
605,buruh
606,prabowo vs jokowi
607,other
608,other
609,jokowi
610,other
611,jokowi
612,other
613,jokowi
614,jokowi
615,prabowo vs jokowi
616,other
617,other
618,politik
619,jasmev
620,other
621,politik
622,jokowi
623,koalisi
624,jokowi
625,other
626,politik
627,jasmev
628,other
629,other
630,other
631,other
632,demo
633,jokowi
634,jokowi
635,other
636,other
637,other
638,politik
639,other
640,other
641,other
642,other
643,other
644,jokowi
645,jokowi
646,other
647,jokowi
648,relawan jokowi
649,other
650,other
651,prabowo vs jokowi
652,other
653,other
654,jokowi
655,other
656,politik
657,other
658,jokowi
659,jokowi
660,jokowi
661,other
662,other
663,jokowi
664,prabowo vs jokowi
665,other
666,jokowi
667,prabowo vs jokowi
668,other
669,prabowo vs jokowi
670,prabowo vs jokowi
671,prabowo vs jokowi
672,jokowi
673,other
674,other
675,politik
676,relawan jokowi
677,other
678,other
679,other
680,buruh
681,other
682,other
683,jokowi
684,jokowi
685,other
686,politik
687,other
688,other
689,other
690,other
691,other
692,other
693,other
694,other
695,other
696,prabowo vs jokowi
697,other
698,relawan jokowi
699,other
700,other
701,other
702,other
703,koalisi
704,other
705,other
706,politik
707,jokowi
708,politik
709,koalisi
710,jokowi
711,jokowi
712,jokowi
713,jokowi
714,other
715,other
716,jokowi
717,jasmev
718,buruh
719,jokowi
720,other
721,other
722,other
723,other
724,jokowi
725,other
726,other
727,other
728,buruh
729,other
730,jokowi
731,other
732,prabowo vs jokowi
733,other
734,other
735,jokowi
736,buruh
737,other
738,other
739,other
740,other
741,other
742,prabowo vs jokowi
743,other
744,prabowo vs jokowi
745,prabowo vs jokowi
746,jokowi
747,other
748,prabowo vs jokowi
749,kandidat pendamping jokowi (cawapres)
750,other
751,other
752,other
753,other
754,jokowi
755,other
756,other
757,jokowi
758,jokowi
759,other
760,buruh
761,buruh
762,other
763,other
764,other
765,jokowi
766,other
767,jokowi
768,prabowo vs jokowi
769,other
770,jokowi
771,other
772,jokowi
773,jokowi
774,prabowo vs jokowi
775,prabowo vs jokowi
776,other
777,other
778,other
779,other
780,other
781,other
782,politik
783,other
784,other
785,other
786,other
787,other
788,jokowi
789,jokowi
790,other
791,other
792,other
793,politik
794,prabowo vs jokowi
795,other
796,other
797,other
798,other
799,other
800,jokowi
801,other
802,jokowi
803,other
804,other
805,other
806,jokowi
807,buruh
808,prabowo vs jokowi
809,other
810,kemeja
811,jokowi
812,other
813,other
814,other
815,jokowi
816,jokowi
817,other
818,other
819,other
820,kandidat pendamping jokowi (cawapres)
821,jokowi
822,jokowi
823,other
824,other
825,other
826,other
827,other
828,other
829,jokowi
830,politik
831,jokowi
832,other
833,prabowo vs jokowi
834,prabowo vs jokowi
835,other
836,jokowi
837,other
838,other
839,prabowo vs jokowi
840,other
