topik,kategori
840,other
841,other
842,other
843,other
844,other
845,other
846,other
847,other
848,other
849,other
850,politik
851,other
852,politik
853,politik
854,other
855,other
856,other
857,keluhan
858,other
859,politik
860,politik
861,other
862,other
863,other
864,politik
865,other
866,other
867,jasmev
868,politik
869,buruh
870,ekonomi
871,keluhan
872,kandidat pendamping jokowi
873,keluhan
874,ekonomi
875,keluhan
876,other
877,jokowi
878,other
879,keluhan
880,politik
881,other
882,buruh
883,demo
884,other
885,other
886,other
887,politik
888,politik
889,other
890,keluhan
891,kemeja putih
892,jokowi
893,keluhan
894,buruh
895,keluhan
896,kemeja putih
897,keluhan
898,other
899,pendamping jokowi
900,other
901,other
902,demo
903,ekonomi
904,keluhan
905,keluhan
906,buruh
907,jokowi
908,jokowi
909,politik
910,jokowi
911,politik
912,politik
913,politik
914,pendamping jokowi
915,relawan jokowi
916,other
917,politik
918,politik
919,jokowi
920,other
921,pendamping jokowi
922,other
923,other
924,politik
925,other
926,other
927,other
928,other
929,buruh
930,relawan jokowi
931,keluhan
932,other
933,demo
934,other
935,keluhan
936,other
937,politik
938,prabowo vs jokowi
939,other
940,eknomi
941,prabowo vs jokowi
942,other
943,ekonomi
944,politik
945,politik
946,other
947,kemeja putih
948,other
949,jokowi
950,pendamping jokowi
951,other
952,other
953,keluhan
954,other
955,politik
956,other
957,relawan jokowi
958,other
959,buruh
960,politik
961,politik
962,other
963,hapus subsidi bbm
964,other
965,other
966,other
967,jokowi
968,other
969,jokowi
970,prabowo vs jokowi
971,prabowo vs jokowi
972,other
973,other
974,other
975,jokowi
976,other
977,jokowi
978,politik
979,prabowo vs jokowi
980,relawan jokowi
981,relawan jokowi
982,other
983,other
984,other
985,other
986,other
987,other
988,politik
989,other
990,buruh
991,politik
992,jokowi
993,jasmev
994,other
995,politik
996,other
997,jokowi
998,other
999,jokowi
1000,other
1001,buruh
1002,politik
1003,other
1004,keluhan
1005,other
1006,jasmev
1007,pendamping jokowi
1008,other
1009,other
1010,politik
1011,other
1012,other
1013,other
1014,other
1015,jokowi
1016,jasmev
1017,keluhan
1018,kemeja putih
1019,other
1020,buruh
1021,politik
1022,other
1023,politik
1024,politik
1025,relawan jokowi
1026,keluhan
1027,other
1028,jokowi
1029,jokowi
1030,buruh
1031,other
1032,other
1033,relawan jokowi
1034,other
1035,jokowi
1036,buruh
1037,keluhan
1038,other
1039,other
1040,other
1041,jokowi
1042,other
1043,prabowo vs jokowi
1044,politik
1045,other
1046,other
1047,other
1048,other
1049,ekonomi
1050,buruh
1051,politik
1052,keluhan
1053,politik
1054,politik
1055,other
1056,prabowo vs jokowi
1057,other
1058,other
1059,other
1060,jasmev
1061,pendamping jokowi
1062,keluhan
1063,jokowi
1064,politik
1065,other
1066,other
1067,other
1068,demo
1069,jokowi
1070,other
1071,other
1072,politik
1073,buruh
1074,jokowi
1075,politik
1076,politik
1077,politik
1078,jokowi
1079,jokowi
1080,jokowi
1081,other
1082,other
1083,other
1084,relawan jokowi
1085,other
1086,other
1087,buruh
1088,other
1089,keluhan
1090,politik
1091,jokowi
1092,other
1093,other
1094,other
1095,politik
1096,politik
1097,buruh
1098,other
1099,jokowi
1100,other
1101,politik
1102,politik
1103,other
1104,other
1105,other
1106,other
1107,other
1108,demo
1109,other
1110,politik
1111,relawan jokowi
1112,jokowi
1113,pendamping jokowi
1114,other
1115,jokowi
1116,buruh
1117,other
1118,other
1119,politik
1120,prabowo vs jokowi
